Input,,,Output
Real,Imaginary,,Real,Imaginary
0.500000, 0.000000,,0.611970, 0.000000
0.500000, 0.001000,,0.611970, 0.000133
0.500000, 0.002000,,0.611969, 0.000266
0.500000, 0.003000,,0.611968, 0.000399
0.500000, 0.004000,,0.611967, 0.000532
0.500000, 0.005000,,0.611965, 0.000665
0.500000, 0.006000,,0.611962, 0.000799
0.500000, 0.007000,,0.611959, 0.000932
0.500000, 0.008000,,0.611956, 0.001065
0.500000, 0.009000,,0.611952, 0.001198
0.500000, 0.010000,,0.611948, 0.001331
0.500000, 0.011000,,0.611943, 0.001465
0.500000, 0.012000,,0.611938, 0.001598
0.500000, 0.013000,,0.611932, 0.001731
0.500000, 0.014000,,0.611926, 0.001865
0.500000, 0.015000,,0.611920, 0.001998
0.500000, 0.016000,,0.611913, 0.002132
0.500000, 0.017000,,0.611906, 0.002266
0.500000, 0.018000,,0.611898, 0.002399
0.500000, 0.019000,,0.611890, 0.002533
0.500000, 0.020000,,0.611881, 0.002667
0.500000, 0.021000,,0.611872, 0.002801
0.500000, 0.022000,,0.611863, 0.002935
0.500000, 0.023000,,0.611853, 0.003069
0.500000, 0.024000,,0.611842, 0.003204
0.500000, 0.025000,,0.611831, 0.003338
0.500000, 0.026000,,0.611820, 0.003472
0.500000, 0.027000,,0.611808, 0.003607
0.500000, 0.028000,,0.611796, 0.003742
0.500000, 0.029000,,0.611784, 0.003877
0.500000, 0.030000,,0.611771, 0.004011
0.500000, 0.031000,,0.611757, 0.004147
0.500000, 0.032000,,0.611743, 0.004282
0.500000, 0.033000,,0.611729, 0.004417
0.500000, 0.034000,,0.611714, 0.004553
0.500000, 0.035000,,0.611699, 0.004688
0.500000, 0.036000,,0.611684, 0.004824
0.500000, 0.037000,,0.611668, 0.004960
0.500000, 0.038000,,0.611651, 0.005096
0.500000, 0.039000,,0.611635, 0.005232
0.500000, 0.040000,,0.611617, 0.005369
0.500000, 0.041000,,0.611600, 0.005505
0.500000, 0.042000,,0.611582, 0.005642
0.500000, 0.043000,,0.611563, 0.005779
0.500000, 0.044000,,0.611544, 0.005916
0.500000, 0.045000,,0.611525, 0.006054
0.500000, 0.046000,,0.611506, 0.006191
0.500000, 0.047000,,0.611485, 0.006329
0.500000, 0.048000,,0.611465, 0.006467
0.500000, 0.049000,,0.611444, 0.006605
0.500000, 0.050000,,0.611423, 0.006743
0.500000, 0.051000,,0.611401, 0.006882
0.500000, 0.052000,,0.611379, 0.007021
0.500000, 0.053000,,0.611356, 0.007160
0.500000, 0.054000,,0.611333, 0.007299
0.500000, 0.055000,,0.611310, 0.007438
0.500000, 0.056000,,0.611286, 0.007578
0.500000, 0.057000,,0.611262, 0.007718
0.500000, 0.058000,,0.611238, 0.007858
0.500000, 0.059000,,0.611213, 0.007998
0.500000, 0.060000,,0.611188, 0.008139
0.500000, 0.061000,,0.611162, 0.008280
0.500000, 0.062000,,0.611136, 0.008421
0.500000, 0.063000,,0.611110, 0.008562
0.500000, 0.064000,,0.611083, 0.008704
0.500000, 0.065000,,0.611056, 0.008846
0.500000, 0.066000,,0.611028, 0.008988
0.500000, 0.067000,,0.611001, 0.009131
0.500000, 0.068000,,0.610972, 0.009273
0.500000, 0.069000,,0.610944, 0.009416
0.500000, 0.070000,,0.610915, 0.009560
0.500000, 0.071000,,0.610886, 0.009703
0.500000, 0.072000,,0.610856, 0.009847
0.500000, 0.073000,,0.610826, 0.009992
0.500000, 0.074000,,0.610796, 0.010136
0.500000, 0.075000,,0.610765, 0.010281
0.500000, 0.076000,,0.610734, 0.010426
0.500000, 0.077000,,0.610703, 0.010571
0.500000, 0.078000,,0.610671, 0.010717
0.500000, 0.079000,,0.610639, 0.010863
0.500000, 0.080000,,0.610606, 0.011009
0.500000, 0.081000,,0.610574, 0.011156
0.500000, 0.082000,,0.610541, 0.011303
0.500000, 0.083000,,0.610507, 0.011450
0.500000, 0.084000,,0.610474, 0.011598
0.500000, 0.085000,,0.610440, 0.011746
0.500000, 0.086000,,0.610405, 0.011894
0.500000, 0.087000,,0.610371, 0.012043
0.500000, 0.088000,,0.610336, 0.012192
0.500000, 0.089000,,0.610300, 0.012341
0.500000, 0.090000,,0.610265, 0.012491
0.500000, 0.091000,,0.610229, 0.012641
0.500000, 0.092000,,0.610193, 0.012792
0.500000, 0.093000,,0.610156, 0.012943
0.500000, 0.094000,,0.610120, 0.013094
0.500000, 0.095000,,0.610083, 0.013245
0.500000, 0.096000,,0.610045, 0.013397
0.500000, 0.097000,,0.610008, 0.013550
0.500000, 0.098000,,0.609970, 0.013702
0.500000, 0.099000,,0.609931, 0.013855
0.500000, 0.100000,,0.609893, 0.014009
0.500000, 0.101000,,0.609854, 0.014163
0.500000, 0.102000,,0.609815, 0.014317
0.500000, 0.103000,,0.609776, 0.014471
0.500000, 0.104000,,0.609737, 0.014626
0.500000, 0.105000,,0.609697, 0.014782
0.500000, 0.106000,,0.609657, 0.014938
0.500000, 0.107000,,0.609616, 0.015094
0.500000, 0.108000,,0.609576, 0.015250
0.500000, 0.109000,,0.609535, 0.015408
0.500000, 0.110000,,0.609494, 0.015565
0.500000, 0.111000,,0.609453, 0.015723
0.500000, 0.112000,,0.609412, 0.015881
0.500000, 0.113000,,0.609370, 0.016040
0.500000, 0.114000,,0.609328, 0.016199
0.500000, 0.115000,,0.609286, 0.016358
0.500000, 0.116000,,0.609243, 0.016518
0.500000, 0.117000,,0.609201, 0.016679
0.500000, 0.118000,,0.609158, 0.016839
0.500000, 0.119000,,0.609115, 0.017001
0.500000, 0.120000,,0.609072, 0.017162
0.500000, 0.121000,,0.609028, 0.017324
0.500000, 0.122000,,0.608985, 0.017487
0.500000, 0.123000,,0.608941, 0.017650
0.500000, 0.124000,,0.608897, 0.017813
0.500000, 0.125000,,0.608853, 0.017977
0.500000, 0.126000,,0.608809, 0.018142
0.500000, 0.127000,,0.608764, 0.018306
0.500000, 0.128000,,0.608719, 0.018472
0.500000, 0.129000,,0.608675, 0.018637
0.500000, 0.130000,,0.608630, 0.018803
0.500000, 0.131000,,0.608584, 0.018970
0.500000, 0.132000,,0.608539, 0.019137
0.500000, 0.133000,,0.608493, 0.019305
0.500000, 0.134000,,0.608448, 0.019473
0.500000, 0.135000,,0.608402, 0.019641
0.500000, 0.136000,,0.608356, 0.019810
